German Breed,English name
Affenpinscher,Affenpinscher
Afghanischer Windhund,Afghan Hound
Ainu-Hund,Hokkaido
Airedale-Terrier,Airedale Terrier
Akita Inu,Akita
Alano Espa?ol,Alano Espanol
Alaskan Malamute,Alaskan Malamute
Alpenländische Dachsbracke,Alpine Dachsbracke
Alpinschäfer,Australian Shepherd
Altdänischer Vorstehhund,Old Danish Pointer
American Akita,American Akita
American Bulldog,American Bulldog
American Bully,American Bully
American Foxhound,American Foxhound
American Hairless Terrier,American Hairless Terrier
American Pocket Bully,American Pocket Bully
American Shepherd,American Shepherd
American Staffordshire Terrier,American Staffordshire Terrier
American Staghound,American Staghound
American Toy Terrier,American Toy Terrier
American Water Spaniel,American Water Spaniel
Amerikanischer Cockerspaniel,Cocker Spaniel
Amerikanischer Collie,Collie
Amerikanischer Pit-Bullterrier,American Pit Bull Terrier
Amerikanischer Staffordshire-Terrier,American Staffordshire Terrier
Anatolischer Hirtenhund,Anatolian Shepherd Dog
Anglo-Francais de Petite Vénerie,Anglo-Francais de Petite Vénerie
Appenzeller Gebirgsschweisshund,Appenzeller Sennenhunde
Appenzeller Sennenhund,Appenzeller Sennenhunde
Aussiedoodle,Aussiedoodle
Australian Cattle Dog,Australian Cattle Dog
Australian Kelpie,Australian Kelpie
Australian Shepherd Dog,Australian Shepherd
Australian Silky Terrier,Silky Terrier
Australian Terrier,Australian Terrier
Azawakh,Azawakh
Balkanbracke,Balkan Hound
Barbet,Barbet
Barsoi,Borzoi
Basenji,Basenji
Basset Artésien-Normand,Basset Artésien-Normand
Basset Bleu de Gascogne,Basset Bleu de Gascogne
Basset Fauve de Bretagne,Basset Fauve de Bretagne
Basset Hound,Basset Hound
Bayerischer Gebirgsschweisshund,Bavarian Mountain Scent Hound
Beagle,Beagle
Beagle-Harrier,Harrier
Bearded Collie,Bearded Collie
Beauceron,Beauceron
Bedlington-Terrier,Bedlington Terrier
Belgischer Schäferhund,Belgian Sheepdog
Bergamasker Hirtenhund,Bergamasco Sheepdog
Berger Picard,Berger Picard
Berger de Pyrénées,Pyrenean Shepherd
Berner Laufhund,Bernese Hound
Berner Sennenhund,Bernese Mountain Dog
Bernhardiner,Saint Bernard
Bichon,Bichon Frise
Bichon Frisé,Bichon Frise
Biewer Terrier,Biewer Terrier
Black-and-tan Coonhound,Black and Tan Coonhound
Bloodhound,Bloodhound
Bobtail,Bobtail
Boerboel,Boerboel
Bologneser,Bolognese
Bolonka Zwetna,Bolonka Tsvetna
Bordeauxdogge,Dogue de Bordeaux
Border-Collie,Border Collie
Border-Terrier,Border Terrier
Bosnischer Rauhhaariger Laufhund,Bosnian Rough-haired Hound
Boston Terrier,Boston Terrier
Bouvier des Flandres,Bouvier des Flandres
Boxer,Boxer
Brabancon,Brussels Griffon
Bracco Italiano,Bracco Italiano
Bracke,Bracke
Braque Saint-Germain,Braque Saint-Germain
Braque du Bourbonnais,Braque du Bourbonnais
Braque d´Auvergne,Braque d'Auvergne
Brasilianischer Terrier,Brazilian Terrier
Briard,Briard
Briquet Griffon Vendeen,Briquet Griffon Vendeen
Broholmer,Broholmer
Bulldog,Bulldog
Bullmastiff,Bullmastiff
Bullterrier,Bull Terrier
Ca de Bestiar,Ca de Bestiar
Cairn-Terrier,Cairn Terrier
Cane Corso,Cane Corso
Cao de Agua Portugues,Portuguese Water Dog
Carolina Dog,Carolina Dog
Catahoula Leopard Dog,Catahoula Leopard Dog
Cavalier King Charles Spaniel,Cavalier King Charles Spaniel
Cesky Fousek,Cesky Fousek
Cesky Terrier,Czech Terrier
Chesapeake Bay Retriever,Chesapeake Bay Retriever
Chien d´Artois,Artois Dog
Chihuahua kurzhaariger Schlag,Chihuahua
Chihuahua langhaariger Schlag,Chihuahua
Chinesischer Schopfhund Hairless-Schlag,Chinese Crested
Chinesischer Schopfhund Powderpuff-Schlag,Chinese Crested
Chodsky Pes,Bohemian Shepherd
Chow-Chow,Chow Chow
Cocker Spaniel,Cocker Spaniel
Cockerpoo,Cockapoo
Collie,Collie
Coton de Tulear,Coton de Tulear
Curly-Coated Retriever,Curly-Coated Retriever
Dackel,Dachshund
Dalmatiner,Dalmatian
Dandie-Dinmont Terrier,Dandie Dinmont Terrier
Deerhound,Scottish Deerhound
Deutsch Drahthaar,German Wirehaired Pointer
Deutsch Kurzhaar,German Shorthaired Pointer
Deutsch Langhaar,German Longhaired Pointer
Deutsche Dogge,Great Dane
Deutscher Jagdterrier,Jagdterrier
Deutscher Pinscher,German Pinscher
Deutscher Schäferhund,German Shepherd Dog
Deutscher Schäferhund Brauner langhaariger Schlag,German Shepherd Dog
Deutscher Schäferhund Cremefarbener langhaariger S,German Shepherd Dog
Deutscher Schäferhund Schwarzer langhaariger Schla,German Shepherd Dog
Deutscher Wachtelhund,Deutscher Wachtelhund
Deutscher Wolfsspitz,German Spitz
Dobermann,Doberman Pinscher
Dogo Argentino,Dogo Argentino
Dogo Canario,Dogo Canario
Drahthaar-Foxterrier,Fox Terrier
Drentse Patrijshond,Drentsche Patrijshond
Dänischer Bauernhund,Danish-Swedish Farmdog
Elo,Elo
Englischer Cockerspaniel,English Cocker Spaniel
English Setter,English Setter
English Springer Spaniel,English Springer Spaniel
English Toy Terrier,English Toy Terrier
Entlebucher Sennenhund,Entlebucher Mountain Dog
Epagneul Bleu de Picardie,Blue Picardy Spaniel
Epagneul Breton,Brittany
Epagneul Francais,French Spaniel
Epagneul Picard,Picardy Spaniel
Eskimohund,American Eskimo Dog
Eurasier,Eurasier
Field Spaniel,Field Spaniel
Fila Brasileiro,Fila Brasileiro
Flat Coated Retriever,Flat-Coated Retriever
Francais Tricolore,French Tricolor
Französische Bulldogge,French Bulldog
Glatthaar-Foxterrier,Fox Terrier
Glen of Imaal Terrier,Glen of Imaal Terrier
Golden Retriever,Golden Retriever
Gordon Setter,Gordon Setter
Grand Basset Griffon Vendeen,Grand Basset Griffon Vendeen
Greyhound,Greyhound
Griffon Belge,Brussels Griffon
Griffon Bruxellois,Brussels Griffon
Griffon Nivernais,Griffon Nivernais
Griffon bleue de Gascogne,Blue Griffon of Gascony
Groenendael,Belgian Sheepdog
Grosser Münsterländer,Large Münsterländer
Grosser Schweizer Sennenhund,Greater Swiss Mountain Dog
Grosspudel,Poodle
Grönlandhund,Greenland Dog
Hannoverscher Schweisshund,Hanoverian Scenthound
Harzer Fuchs,Harzer Fuchs
Havaneser,Havanese
Hollandse Herdershond,Dutch Shepherd
Hovawart,Hovawart
Illyrischer Schäferhund,Illyrian Shepherd Dog
Inka Nackthund,Inca Hairless Dog
Irish Setter,Irish Setter
Irish Soft Coated Wheaten Terrier,Irish Terrier
Irish Terrier,Irish Terrier
Irish Wolfhound,Irish Wolfhound
Irish red-and-white Setter,Irish Red And White Setter
Isländer Spitz,Icelandic Sheepdog
Istrianer Rauhhaarige Bracke,Istrian Rough-haired Hound
Italienisches Windspiel,Italian Greyhound
Jack-Russell-Terrier,Jack Russell Terrier
Jagdterrier,Jagdterrier
Japan-Chin,Japanese Chin
Japanischer Spitz,Japanese Spitz
Kai,Kai Ken
Kanarische Dogge,Canary Islands Mastiff
Kangal,Kangal
Katalanische Schäferhund,Catalan Shepherd Dog
Kaukasischer Schäferhund,Caucasian Shepherd Dog
Kerry Blue Terrier,Kerry Blue Terrier
King Charles Spaniel,King Charles Spaniel
Klein- oder Mittelpudel,Poodle
Kleiner Münsterländer,Small Munsterlander Pointer
Komondor,Komondor
Kooikerhond,Kooikerhondje
Korea Jindo Dog,Korean Jindo Dog
Kroatischer Schäferhund,Croatian Sheepdog
Kromfohrländer,Kromfohrländer
Kurzhaardackel,Dachshund
Kurzhaariger Collie,Collie
Kuvasz,Kuvasz
Labradoodle,Labradoodle
Labrador Retriever,Labrador Retriever
Lagotto Romagnolo,Lagotto Romagnolo
Lakeland-Terrier,Lakeland Terrier
Lancashire-Heeler,Lancashire Heeler
Landseer,Newfoundland
Langhaardackel,Dachshund
Lappländer Rentierhund,Lapland Reindeer Dog
Leonberger,Leonberger
Lhasa Apso,Lhasa Apso
Lurcher,Lurcher
Löwchen,Lowchen
Magyar Vizsla,Vizsla
Majorero Canario,Majorero Canario
Malinois,Belgian Malinois
Malteser,Maltese
Manchester-Terrier,Manchester Terrier
Maremmaner Hirtenhund,Maremma Sheepdog
Mastiff,Mastiff
Mastin Espanol,Spanish Mastiff
Mastino Napoletano,Neapolitan Mastiff
Mexikanischer Nackthund,Xoloitzcuintli
Mittelasiatischer Schäferhund,Central Asian Shepherd Dog
Mittelspitz,German Spitz
Mops,Pug
Mudi,Mudi
Neufundländer,Newfoundland
Norfolk-Terrier,Norfolk Terrier
Norwegischer Buhund,Norwegian Buhund
Norwegischer Elchhund,Norwegian Elkhound
Norwegischer Lundehund,Norwegian Lundehund
Norwich-Terrier,Norwich Terrier
Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever
Olde English Bulldogge,Old English Bulldog
Otterhound,Otterhound
Papillon,Papillon
Parson-Russell-Terrier,Parson Russell Terrier
Patterdale-Terrier,Patterdale Terrier
Pekinese,Pekingese
Perdigueiro Portugues,Portuguese Pointer
Perdiguero de Burgos,Perdiguero de Burgos
Perro de Agua Espanol,Spanish Water Dog
Peruanische Nackthund,Peruvian Hairless Dog
Petit Basset Griffon Vendeen,Petit Basset Griffon Vendéen
Petit Bleu de Gascogne,Petit Bleu de Gascogne
Phalene,Papillon
Pharaonenhund,Pharaoh Hound
Pit Bull Terrier,American Pit Bull Terrier
Podenco Canario,Podenco Canario
Podenco Ibicenco,Ibizan Hound
Podengo Portugueso Medio,Portuguese Podengo Pequeno
Podengo Portugueso Pequeno,Portuguese Podengo Pequeno
Podhalenhund,Podhale Dog
Pointer,Pointer
Polnische Bracke,Polish Hound
Polnischer Berghund,Polish Mountain Dog
Polnischer Niederungshütehund,Polish Lowland Sheepdog
Prager Rattler,Prague Ratter
Pudel,Poodle
Pudelpointer,Poodle Pointer
Puli,Puli
Pumi,Pumi
Pyrenäenberghund,Pyrenean Mountain Dog
Pyrenäenhund,Pyrenean Shepherd
Rafeiro do Alentejo,Rafeiro do Alentejo
Rat Terrier,Rat Terrier
Ratero,Ratero
Rauhhaardackel (Zwergdackel),Dachshund
Rhodesian Ridgeback,Rhodesian Ridgeback
Riesenschnauzer,Giant Schnauzer
Rottweiler,Rottweiler
Russisch-Europäischer Laika,Yakutian Laika
Russkiy Toy,Russkiy Toy
Saarloos-Wolfhund,Saarloos Wolfhound
Saluki,Saluki
Samojede,Samoyed
Save-Bracke,Save-Bracke
Schapendoes,Schapendoes
Schipperke,Schipperke
Schnauzer,Standard Schnauzer
Schwarzer Russischer Terrier,Black Russian Terrier
Schwyzer Laufhund,Schwyzer Hound
Scottish Terrier,Scottish Terrier
Sealyham-Terrier,Sealyham Terrier
Shar Pei,Chinese Shar-Pei
Sheltie,Shetland Sheepdog
Shiba Inu,Shiba Inu
Shih Tzu,Shih Tzu
Shikoku,Shikoku
Shiloh Shepherd,Shiloh Shepherd
Siberian Husky,Siberian Husky
Skye Terrier,Skye Terrier
Sloughi,Sloughi
Slovensky Cuvac,Slovensky Cuvac
Slovensky Kopov,Slovensky Kopov
Soft-Coated Wheaten Terrier,Soft Coated Wheaten Terrier
Spanischer Windhund,Spanish Greyhound
Spinone,Spinone Italiano
Spitz,German Spitz
Stabyhond,Stabyhoun
Staffordshire Bullterrier,Staffordshire Bull Terrier
Staffordshire-Bullterrier,Staffordshire Bull Terrier
Steirische Rauhhaarige Hochgebirgsbracke,Styrian Rough-Haired High Mountain Hound
Sussex-Spaniel,Sussex Spaniel
Südrussischer Schäferhund,South Russian Shepherd Dog
Tervueren,Belgian Tervuren
Thai Ridgeback,Thai Ridgeback
Tibet-Spaniel,Tibetan Spaniel
Tibet-Terrier,Tibetan Terrier
Tibetdogge,Tibetan Mastiff
Tibetischer Kyi Apso,Tibetan Kyi Apso
Tiroler Bracke,Tyrolean Hound
Tosa Inu,Tosa Inu
Toy-Pudel,Poodle
Tschechischer Wolfshund,Czech Wolfhound
Unbekannt,Unknown
Ungarische Bracke,Hungarian Hound
Ungarischer Windhund,Hungarian Greyhound
Volpino,Volpino
Wachtelhund,Deutscher Wachtelhund
Weimaraner,Weimaraner
Weißer Schweizer Schäferhund,White Swiss Shepherd
Welsh Corgi Cardigan,Cardigan Welsh Corgi
Welsh Corgi Pembroke,Pembroke Welsh Corgi
Welsh Springer Spaniel,Welsh Springer Spaniel
Welsh Terrier,Welsh Terrier
West Highland White Terrier,West Highland White Terrier
Whippet,Whippet
Windhund,Greyhound
Wolfsspitz,Keeshond
Wäller,Wäller
Yorkshire Terrier,Yorkshire Terrier
Zentralasiatischer Owtscharka,Central Asian Shepherd Dog
Zwergpinscher,Miniature Pinscher
Zwergpudel,Poodle
Zwergschnauzer,Miniature Schnauzer
Zwergschäferhund,German Shepherd Dog
Zwergspitz,Pomeranian
Österreichischer Pinscher,Austrian Pinscher